,number_of_rooms,floor,area,latitude,longitude,price
112,2,2,37.0,38.5305762,68.7763022,300000
113,2,2,55.0,38.5635832,68.7537962,350000
114,4,4,209.0,,,2820000
115,4,7,86.0,38.52874565,68.7448214,500000
116,2,13,88.0,38.52874565,68.7448214,465000
117,2,12,72.0,,,445000
118,1,3,40.0,38.50599805,68.75511569013814,200000
119,1,3,41.0,38.5305762,68.7763022,245000
120,2,12,72.0,38.5507163,68.8305472,445000
121,4,1,150.0,38.5305762,68.7763022,790650
122,3,3,70.0,,,500000
123,2,6,65.0,,,625000
124,1,6,44.0,,,302100
125,2,14,62.0,38.5644634,68.7598051,285000
126,3,6,74.0,38.58569185,68.72512473468157,620000
127,3,2,52.0,38.5858337,68.793715,160000
128,3,9,93.0,38.5871679,68.7869964,470000
129,2,7,66.0,38.5871679,68.7869964,410000
130,2,5,67.0,38.5871679,68.7869964,416000
131,1,5,59.0,38.5871679,68.7869964,366000
132,2,10,66.0,38.5871679,68.7869964,340000
133,3,3,106.0,38.5871679,68.7869964,658000
134,2,2,110.0,,,1596000
135,2,10,67.0,38.5871679,68.7869964,755000
136,1,1,30.0,38.5905467,68.7329119,285000
137,2,10,64.0,38.5834656,68.7891768,457000
138,1,3,42.0,38.5615057,68.739065,300000
139,1,4,42.0,38.5575994,68.76368975457416,285000
140,3,5,75.0,38.5885533,68.7787884,460000
141,2,13,52.0,38.5849938,68.7245146,364160
142,2,2,67.0,38.5077678,68.7681578,499000
143,2,12,95.0,38.5871679,68.7869964,690000
144,2,11,63.0,,,445000
145,3,7,120.0,,,1220000
146,3,1,68.0,38.5425835,68.81521423589763,535000
147,2,2,55.0,38.5507163,68.8305472,380000
148,3,6,50.0,,,450000
149,3,5,56.0,38.5507163,68.8305472,380000
150,1,13,40.0,38.5853222,68.71890381645422,120000
151,1,6,30.0,38.5615057,68.739065,170000
152,4,2,80.0,38.57144665,68.75630004640139,720000
153,3,4,68.0,,,535000
154,2,1,38.0,38.5615057,68.739065,250000
155,1,3,32.0,38.5615057,68.739065,200000
156,2,14,60.0,,,430000
157,2,12,66.0,,,500000
158,2,4,50.0,,,729600
159,3,1,62.0,38.558446950000004,68.74822573217185,400000
160,2,12,72.0,38.5615057,68.739065,490200
161,3,1,50.0,,,450000
162,2,10,53.0,,,260000
163,2,8,77.0,38.5666857,68.80115682489688,328000
164,2,5,42.0,38.542712800000004,68.86664877742379,123000
165,2,10,80.0,38.5635832,68.7537962,350000
166,1,1,37.0,38.58569185,68.72512473468157,181600
167,3,7,82.0,38.5507163,68.8305472,595000
168,3,9,50.0,,,850000
169,2,14,68.0,,,799000
170,2,3,39.0,38.5615057,68.739065,461000
171,3,5,75.0,38.5885533,68.7787884,467400
172,3,11,202.0,38.5507163,68.8305472,1900000
173,2,7,86.0,,,353000
174,3,8,96.0,,,404000
175,1,5,75.0,,,200000
176,2,11,108.0,,,925000
177,3,6,149.0,,,1800000
178,2,2,77.0,38.5507163,68.8305472,625000
179,2,8,60.0,38.5305762,68.7763022,315000
180,3,14,78.0,38.5849938,68.7245146,470000
181,3,10,104.0,38.5737759,68.8016005,652000
182,3,10,183.0,,,980000
183,1,4,61.0,38.4881522,68.7153354,399000
184,2,5,70.0,38.5305762,68.7763022,370000
185,3,16,105.0,38.4881522,68.7153354,515000
186,1,4,55.0,38.5305762,68.7763022,282150
187,2,4,83.0,,,1200000
188,2,12,74.0,38.5507163,68.8305472,421000
189,2,9,85.0,38.54557415,68.82363701984585,629000
190,2,16,78.0,38.4881522,68.7153354,372000
191,4,1,85.0,38.5615057,68.739065,550000
192,2,9,88.0,38.5507163,68.8305472,798000
193,1,3,49.0,38.4881522,68.7153354,379000
194,3,10,104.0,38.5834656,68.7891768,639000
195,2,14,80.0,,,428640
196,2,16,72.0,,,400000
197,2,7,48.0,38.5305762,68.7763022,380000
198,1,5,66.0,38.5644634,68.7598051,430000
199,4,4,85.0,,,695000
200,2,12,45.0,38.5623522,68.81128815016059,567000
201,2,1,71.0,38.5871679,68.7869964,550000
202,2,4,84.0,38.5631138,68.7919442,650000
203,2,3,100.0,38.5644634,68.7598051,649000
204,2,14,71.0,,,450000
205,2,13,71.0,38.563966,68.7969471,590000
206,2,4,63.0,38.563966,68.7969471,450000
207,2,15,68.0,38.5575994,68.76368975457416,330000
208,1,13,46.0,38.5615057,68.739065,260000
209,3,4,65.0,,,460000
210,1,11,42.0,38.5686582,68.7850622,450000
211,2,2,44.0,,,240000
212,1,1,38.0,38.5305762,68.7763022,190000
213,4,6,120.0,38.5305762,68.7763022,700000
214,3,4,78.0,38.5858337,68.793715,305000
215,1,16,60.0,38.5507163,68.8305472,358000
216,2,0,65.0,38.5615057,68.739065,210000
217,2,9,50.0,,,750000
218,3,13,88.0,,,630000
219,1,2,50.0,38.55857825,68.79582022080177,316000
220,1,8,50.0,38.55857825,68.79582022080177,267000
221,3,6,105.0,38.5507163,68.8305472,560000
222,1,6,63.0,38.5507163,68.8305472,340000
223,2,3,72.0,38.55857825,68.79582022080177,420000
224,1,7,63.0,38.5507163,68.8305472,340000
225,3,11,106.0,38.5305762,68.7763022,545000
226,2,9,88.0,38.5507163,68.8305472,475000
227,1,9,130.0,38.5507163,68.8305472,696000
228,2,9,118.0,38.5507163,68.8305472,637000
229,2,6,88.0,38.55857825,68.79582022080177,449000
230,1,7,48.0,,,247000
231,2,14,85.0,38.5507163,68.8305472,538000
232,1,7,63.0,38.5858337,68.793715,376000
233,2,11,85.0,,,455000
234,2,11,97.0,38.5858337,68.793715,520000
235,2,10,74.0,38.5615057,68.739065,354000
236,2,10,75.0,38.5615057,68.739065,359000
237,3,10,112.0,38.5615057,68.739065,536000
238,3,14,112.0,,,740000
239,3,3,75.0,38.5823233,68.74831405,600000
240,3,10,128.0,38.5686785,68.79479377896965,588000
241,1,8,65.0,38.55014405,68.76102166353772,295000
242,3,8,98.0,38.55014405,68.76102166353772,418000
243,2,7,42.0,38.55857825,68.79582022080177,220000
244,3,4,84.0,38.54670385,68.74736905,745000
245,2,1,27.0,38.5305762,68.7763022,360000
246,2,15,73.0,38.5305762,68.7763022,450000
247,3,10,110.0,38.54557415,68.82363701984585,530000
248,2,3,59.0,,,425000
249,3,10,105.0,38.546926150000004,68.75433241238348,410000
250,2,1,50.0,,,250000
251,2,3,42.0,38.5615057,68.739065,230000
252,5,3,90.0,38.5234594,68.74951586109968,700000
253,3,2,80.0,38.564374400000005,68.73941921022708,437000
254,2,9,77.0,38.5507163,68.8305472,392000
255,2,8,68.0,,,398000
256,3,13,97.0,38.5507163,68.8305472,705000
257,1,6,56.0,38.5507163,68.8305472,450000
258,1,4,42.0,38.5077678,68.7681578,235000
259,2,3,65.0,38.54670385,68.74736905,570000
260,1,5,48.0,38.5305762,68.7763022,235000
261,3,7,130.0,38.5507163,68.8305472,925000
262,1,6,50.0,38.5389415,68.76361308837454,254000
263,3,14,122.0,38.5507163,68.8305472,700000
264,3,4,65.0,38.571596549999995,68.76501266615352,600000
265,2,3,42.0,38.5215622,68.74921245,420000
266,3,4,60.0,38.5635832,68.7537962,365000
267,1,12,59.0,38.5507163,68.8305472,400000
268,2,1,37.0,,,150000
269,3,18,135.0,38.5834656,68.7891768,730000
270,1,3,25.0,,,250000
271,5,11,185.0,,,1476000
272,1,8,50.0,38.5077678,68.7681578,218000
273,1,9,63.0,,,266500
274,3,18,126.0,38.563966,68.7969471,1083000
275,1,7,42.0,,,338000
276,2,1,50.0,,,390
277,2,6,60.0,,,500000
278,2,8,93.0,,,435000
279,2,15,50.0,,,590000
280,1,1,16.0,38.558446950000004,68.74822573217185,136000
281,1,2,33.0,38.5112209,68.73803768568288,210000
282,2,4,40.0,38.5615057,68.739065,370000
283,3,3,72.0,38.5902908,68.73696025314088,500000
284,2,8,48.0,38.5615057,68.739065,350000
285,2,3,50.0,,,300000
286,2,8,76.0,,,408000
287,1,13,58.0,38.5575994,68.76368975457416,299000
288,2,12,75.0,38.5112209,68.73803768568288,300000
289,1,11,48.0,38.5112209,68.73803768568288,195000
290,2,7,83.0,,,350000
291,1,8,55.0,,,240000
292,4,4,134.0,38.5704518,68.77644953851382,1250000
293,3,10,102.0,38.554049899999995,68.78854784999999,370000
294,2,14,85.0,38.5647176,68.7909964,385000
295,1,1,22.0,38.5305762,68.7763022,80000
296,4,6,157.0,38.5960365,68.78432348227021,1980000
297,4,9,177.0,,,1150150
298,3,7,90.0,38.584950250000006,68.76348722496377,889200
299,2,16,75.0,38.5507163,68.8305472,370000
300,3,8,84.0,,,484000
301,2,15,85.0,38.562548050000004,68.81436528669661,391000
302,1,4,35.0,38.54670385,68.74736905,342000
303,3,15,132.0,38.5507163,68.8305472,632000
304,3,6,90.0,,,775200
305,4,11,140.0,38.5871679,68.7869964,845880
306,2,8,65.0,38.4881522,68.7153354,400000
307,3,2,114.0,38.5911176,68.7546006,988000
308,3,1,103.0,,,967300
309,4,3,58.0,38.5871679,68.7869964,605000
310,1,3,35.0,38.5902908,68.73696025314088,289000
311,1,2,75.0,,,649000
312,1,9,43.0,,,319200
313,2,4,80.0,,,969000
314,3,2,70.0,38.5425835,68.81521423589763,646000
315,2,4,78.0,38.5305762,68.7763022,638000
316,2,12,86.0,,,670000
317,3,12,150.0,,,720000
318,3,9,84.0,,,385000
319,4,3,235.0,,,2965000
320,2,14,95.0,,,509000
321,3,16,118.0,,,578000
322,2,13,100.0,38.562548050000004,68.81436528669661,565440
323,2,11,70.0,38.5507163,68.8305472,530000
324,3,7,106.0,38.6073612,68.76542276524367,387000
325,1,10,50.0,,,223000
326,2,17,82.0,38.55014405,68.76102166353772,374000
327,1,4,64.0,38.6073612,68.76542276524367,250000
328,1,5,60.0,38.6073612,68.76542276524367,234000
329,2,8,85.0,38.52225355,68.74991793788521,500000
330,1,8,50.0,38.5615057,68.739065,285000
331,2,8,50.0,38.585271649999996,68.7282739598053,285000
332,5,12,163.0,38.5658287,68.7857279,930000
333,3,16,116.0,,,595000
334,3,5,165.0,38.5871679,68.7869964,1037000
335,3,16,82.0,38.5853222,68.71890381645422,170900
336,2,12,45.0,38.5623522,68.81128815016059,565000
337,2,5,56.0,38.5615057,68.739065,400000
338,2,9,91.0,38.5736713,68.7948765,568000
339,2,6,85.0,38.5631138,68.7919442,530000
340,1,15,52.0,38.5736713,68.7948765,330000
341,2,10,52.0,38.5507163,68.8305472,507000
342,2,9,68.0,38.5507163,68.8305472,830000
343,2,12,77.0,38.5507163,68.8305472,455000
344,2,8,88.0,,,372000
345,3,14,120.0,38.5647176,68.7909964,543000
346,2,15,50.0,38.5507163,68.8305472,295000
347,1,12,61.0,38.5507163,68.8305472,368000
348,2,14,76.0,38.584950250000006,68.76348722496377,410000
349,1,10,43.0,38.54383815,68.7246305,152000
350,1,9,55.0,38.5834656,68.7891768,295000
351,1,12,57.0,38.533662,68.6677214,357390
352,2,12,72.0,38.56067835,68.74870560029927,240240
353,2,8,76.0,38.5962604,68.7519009,519840
354,1,15,50.0,38.5507163,68.8305472,295000
355,2,8,100.0,38.5962604,68.7519009,684000
356,3,13,120.0,38.5729167,68.7874518,1504800
357,3,3,106.0,38.566674,68.78088647724358,785460
358,3,6,106.0,,,422940
359,3,15,110.0,38.5871679,68.7869964,1482500
360,3,8,142.0,38.5962604,68.7519009,971280
361,3,9,130.0,,,837000
362,3,7,97.0,38.52225355,68.74991793788521,586000
363,2,11,92.0,38.5707484,68.7886955,575000
364,3,8,126.0,38.563966,68.7969471,735000
365,1,17,63.0,,,625000
366,2,18,101.0,38.5707484,68.7886955,585000
367,3,12,165.0,38.58096865,68.79602632635067,944000
368,2,3,63.0,,,460000
369,3,16,84.0,,,415000
370,1,15,59.0,38.4881522,68.7153354,288000
371,2,16,84.0,,,415000
372,2,17,135.0,38.52225355,68.74991793788521,395000
373,2,11,101.0,,,630000
374,2,14,100.0,,,599900
375,2,5,95.0,38.584950250000006,68.76348722496377,1083000
376,2,2,79.0,38.554049899999995,68.78854784999999,367000
377,2,3,45.0,38.5305762,68.7763022,337000
378,2,4,48.0,38.5227788,68.766135,300000
379,1,10,60.0,38.5507163,68.8305472,351000
380,1,10,65.0,38.5686948,68.773037,332000
381,2,10,52.0,38.5507163,68.8305472,507000
382,1,11,48.0,38.5112209,68.73803768568288,285000
383,2,8,78.0,38.5686948,68.773037,398000
384,4,8,90.0,38.52399065,68.74912565571961,612000
385,2,12,72.0,38.46467165,68.7389283220156,229000
386,2,2,40.0,,,354000
387,3,7,86.0,38.5425835,68.81521423589763,544000
388,1,12,60.0,38.585271649999996,68.7282739598053,229000
389,2,2,55.0,38.5234594,68.74951586109968,465000
390,1,11,42.0,38.5507163,68.8305472,201955
391,2,8,43.0,38.5507163,68.8305472,221427
392,2,8,90.0,38.5507163,68.8305472,460192
393,4,9,160.0,,,880000
394,4,4,64.0,38.58569185,68.72512473468157,535000
395,2,4,50.0,38.5305762,68.7763022,410000
396,2,13,67.0,38.526600200000004,68.74827971106365,310000
397,2,5,75.0,38.5853222,68.71890381645422,600000
398,2,4,58.0,38.5853222,68.71890381645422,430000
399,2,5,55.0,38.5425835,68.81521423589763,285000
400,2,8,78.0,38.5425835,68.81521423589763,342000
401,6,9,357.0,38.5234594,68.74951586109968,3420000
402,3,3,110.0,38.5707484,68.7886955,1254000
403,3,3,75.0,,,379000
404,3,14,178.0,38.584950250000006,68.76348722496377,2450000
405,1,13,55.0,38.5834656,68.7891768,379500
406,2,6,51.0,38.5507163,68.8305472,499000
407,4,7,50.0,,,680000
408,2,1,54.0,,,406000
409,1,15,62.0,38.5625207,68.7694707,238000
410,2,15,74.0,38.585271649999996,68.7282739598053,265000
411,1,8,50.0,38.5853222,68.71890381645422,342000
412,3,1,48.0,38.5885533,68.7787884,353000
413,3,9,87.0,38.5536898,68.7652048,487000
414,3,7,82.0,,,545000
415,3,12,100.0,38.562076,68.7984058,520000
416,4,4,65.0,38.5305762,68.7763022,550000
417,2,2,66.0,38.52225355,68.74991793788521,513000
418,2,9,62.0,38.5507163,68.8305472,704000
419,2,4,47.0,38.5305762,68.7763022,200000
420,3,2,93.0,38.5885533,68.7787884,1081100
421,3,8,84.0,,,483650
422,3,9,70.0,38.5507163,68.8305472,479999
423,2,7,71.0,38.5507163,68.8305472,330000
424,2,2,79.0,38.554049899999995,68.78854784999999,388000
425,3,9,70.0,38.54557415,68.82363701984585,530000
426,1,5,47.0,,,236000
427,1,7,46.0,38.5686785,68.79479377896965,420000
428,2,8,75.0,,,350500
429,1,7,53.0,,,253700
430,3,9,89.0,38.585271649999996,68.7282739598053,570000
431,2,11,76.0,,,345000
432,2,10,111.0,,,569000
433,3,9,137.0,,,593500
434,2,13,120.0,,,1254000
435,3,7,128.0,,,862500
436,3,1,66.0,38.4881522,68.7153354,318640
437,2,12,64.0,,,356000
438,4,3,95.0,38.5853222,68.71890381645422,500000
439,1,4,42.0,,,290000
440,3,9,105.0,,,610000
441,1,1,42.0,,,273000
442,3,12,137.0,38.5647176,68.7909964,1015000
443,1,16,55.0,38.526600200000004,68.74827971106365,220000
444,2,6,71.0,38.526600200000004,68.74827971106365,379000
445,2,7,78.0,38.5707484,68.7886955,800000
446,1,4,55.0,38.526600200000004,68.74827971106365,293000
447,2,5,72.0,38.5644634,68.7598051,439000
448,1,5,58.0,38.5644634,68.7598051,396000
449,2,14,56.0,38.5234594,68.74951586109968,419000
450,3,4,76.0,38.55014405,68.76102166353772,425005
451,1,9,60.0,38.558446950000004,68.74822573217185,330000
452,3,11,140.0,38.5686785,68.79479377896965,1596000
453,1,8,48.0,38.5112209,68.73803768568288,179999
454,3,10,116.0,38.5686785,68.79479377896965,992000
455,2,5,57.0,38.5739136,68.7854047,750000
456,1,8,40.0,,,273000
457,3,1,50.0,38.5602287,68.8263841,342000
458,4,12,200.0,38.5834656,68.7891768,2034000
459,4,2,200.0,38.5858337,68.793715,800000
460,2,10,60.0,,,502740
461,2,16,71.0,38.5305762,68.7763022,485000
462,2,2,50.0,38.5615057,68.739065,220000
463,1,3,38.0,38.5507163,68.8305472,290000
464,2,10,90.0,,,513000
465,3,10,140.0,38.584950250000006,68.76348722496377,1140000
466,3,11,108.0,38.584950250000006,68.76348722496377,730000
467,3,19,298.0,38.584950250000006,68.76348722496377,1865000
468,1,4,50.0,,,380000
469,2,15,84.0,,,362292
470,1,10,40.0,38.5305762,68.7763022,238500
471,1,2,36.0,38.5615057,68.739065,160000
472,4,11,50.0,,,870000
473,2,8,76.0,38.58227975,68.76266008256485,370918
474,2,7,57.0,,,198000
475,1,1,25.0,38.5305762,68.7763022,125000
476,2,1,40.0,38.5305762,68.7763022,165000
477,1,3,51.0,38.5834656,68.7891768,380000
478,4,2,95.0,38.5234594,68.74951586109968,678000
479,2,14,54.0,38.5507163,68.8305472,555000
480,1,2,36.0,,,300000
481,2,14,88.0,38.5871679,68.7869964,635000
482,2,5,60.0,38.5871679,68.7869964,365000
483,1,2,26.0,,,275000
484,1,4,28.0,38.5507163,68.8305472,320000
485,2,3,49.0,38.5305762,68.7763022,220000
486,1,3,38.0,38.5305762,68.7763022,165000
487,3,2,60.0,38.5305762,68.7763022,255000
488,3,7,105.0,38.5615057,68.739065,780000
489,1,4,30.0,,,283000
490,3,4,70.0,38.5215622,68.74921245,545000
491,2,4,37.0,38.5305762,68.7763022,306000
492,3,11,93.0,38.4881522,68.7153354,957600
493,2,5,56.0,38.5615057,68.739065,275000
494,3,9,105.0,38.5234594,68.74951586109968,1089600
495,2,15,87.0,38.533662,68.6677214,630000
496,2,1,47.0,38.5507163,68.8305472,350000
497,2,7,82.0,38.5853222,68.71890381645422,228000
498,2,13,68.0,,,795000
499,3,2,74.0,,,600000
500,2,15,80.0,38.5615057,68.739065,270000
501,1,2,34.0,38.5885533,68.7787884,260000
502,2,12,72.0,38.5615057,68.739065,335000
503,2,5,83.0,38.5834656,68.7891768,950000
504,2,6,78.0,38.5615057,68.739065,520000
505,1,13,56.0,38.4881522,68.7153354,320000
506,3,5,90.0,,,990000
507,2,4,74.0,38.5823233,68.74831405,450000
508,4,15,218.0,38.5737759,68.8016005,1855000
509,2,7,96.0,38.5296206,68.74739629999999,547200
510,2,2,96.0,38.5296206,68.74739629999999,599000
511,1,2,30.0,38.5112209,68.73803768568288,230000
512,3,2,61.0,38.5100357,68.7339248,400000
513,1,3,23.0,38.5100357,68.7339248,120000
514,1,3,32.0,38.5112209,68.73803768568288,165000
515,4,9,81.0,,,550000
516,3,2,76.0,38.5615057,68.739065,480000
517,2,1,58.0,38.571596549999995,68.76501266615352,390000
518,1,2,50.0,38.5849938,68.7245146,3000
519,1,9,36.0,38.58569185,68.72512473468157,390000
520,2,2,45.0,38.5507163,68.8305472,261000
521,2,1,40.0,38.5615057,68.739065,310000
522,2,4,45.0,,,460000
523,1,2,50.0,,,150000
524,3,14,50.0,,,610000
525,6,11,200.0,38.5615057,68.739065,2200000
526,3,15,148.0,38.5507163,68.8305472,940000
527,3,2,71.0,38.528353,68.7378714,500000
528,3,12,64.0,38.54670385,68.74736905,495000
529,3,2,72.0,38.5858337,68.793715,200000
530,2,9,60.0,38.5615057,68.739065,431000
531,2,1,50.0,38.5615057,68.739065,340000
532,1,1,38.0,38.5615057,68.739065,270000
533,5,3,90.0,38.5615057,68.739065,680000
534,2,4,34.0,38.5507163,68.8305472,245000
535,2,3,68.0,38.5853222,68.71890381645422,456000
536,6,2,210.0,38.5615057,68.739065,2210000
537,3,7,78.0,38.55014405,68.76102166353772,620000
538,3,10,65.0,38.5871679,68.7869964,699000
539,2,7,50.0,38.584950250000006,68.76348722496377,379999
540,3,9,137.0,38.5507163,68.8305472,588000
541,3,9,100.0,38.5834656,68.7891768,700000
542,3,13,105.0,38.5834656,68.7891768,513000
543,3,11,79.0,38.5425835,68.81521423589763,48000
544,2,9,60.0,38.5615057,68.739065,460000
545,3,1,65.0,38.5615057,68.739065,520000
546,1,5,52.0,38.5507163,68.8305472,302300
547,1,19,41.0,38.5077678,68.7681578,115000
548,3,14,103.0,,,647000
549,2,5,75.0,,,450000
550,3,15,130.0,38.54557415,68.82363701984585,650000
551,1,11,27.0,38.5305762,68.7763022,227000
552,3,9,110.0,38.55468165,68.81668724545256,990000
553,3,9,98.0,38.5737759,68.8016005,1105000
554,3,6,129.0,,,912000
555,3,10,117.0,,,735000
556,3,12,78.0,38.4881522,68.7153354,680000
557,2,10,63.0,38.5737759,68.8016005,717000
558,2,12,83.0,,,470000
559,1,3,35.0,38.5305762,68.7763022,265100
560,3,1,50.0,38.5666857,68.80115682489688,300000
561,3,5,75.0,38.5575994,68.76368975457416,639000
562,3,7,135.0,38.5859732,68.79927069760828,1139999
563,1,10,60.0,38.58569185,68.72512473468157,450000
564,2,3,65.0,38.5871679,68.7869964,547200
565,3,12,78.0,38.4881522,68.7153354,635000
566,3,3,111.0,38.5208346,68.74790775,940000
567,3,2,118.0,,,795000
568,2,14,79.0,38.57144665,68.75630004640139,358000
569,3,12,65.0,38.5635832,68.7537962,682000
570,2,2,55.0,38.5575994,68.76368975457416,370000
571,2,6,65.0,,,580000
572,4,8,150.0,38.54670385,68.74736905,1272000
573,4,3,50.0,,,420000
574,1,3,38.0,38.5507163,68.8305472,295000
575,3,11,50.0,,,950000
576,1,9,51.0,38.5615057,68.739065,280000
577,2,7,78.0,38.52225355,68.74991793788521,460000
578,3,4,84.0,,,720000
579,2,1,60.0,38.5215622,68.74921245,420000
580,2,7,50.0,,,400000
581,3,1,54.0,38.558446950000004,68.74822573217185,350000
582,3,11,73.0,38.585271649999996,68.7282739598053,440000
583,1,9,47.0,38.5615057,68.739065,214300
584,2,18,57.0,,,270000
585,2,2,46.0,,,340000
586,2,13,79.0,38.5305762,68.7763022,490000
587,3,13,102.0,38.5858337,68.793715,695000
588,2,2,60.0,38.5615057,68.739065,460000
589,1,6,47.0,,,212440
590,2,3,58.0,38.5305762,68.7763022,570000
591,2,12,77.0,,,365000
592,2,11,100.0,38.554049899999995,68.78854784999999,363000
593,1,9,49.0,38.5507163,68.8305472,235000
594,1,7,54.0,38.5112209,68.73803768568288,220000
595,1,7,44.0,38.5615057,68.739065,198880
596,1,8,45.0,38.5615057,68.739065,205200
597,3,5,83.0,,,750000
598,3,2,120.0,38.5706843,68.7897228,1310000
599,3,6,107.0,,,1254000
600,3,4,70.0,,,795000
601,1,10,57.0,38.5644634,68.7598051,264400
602,2,2,45.0,38.5575994,68.76368975457416,430160
603,2,9,90.0,38.563966,68.7969471,461700
604,2,6,80.0,38.5117958,68.7356977,410000
